what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1481115541086
os,sysinfo,,,"win32",1481115541101
arch,sysinfo,,,"x86_64",1481115541101
ws,sysinfo,,,"win32",1481115541101
locale,sysinfo,,,"zh_CN",1481115541101
processors,sysinfo,,,"4",1481115541101
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1481115541101
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1481115541101
java.specification.name,sysinfo,,,"Java Platform API Specification",1481115541101
java.specification.vendor,sysinfo,,,"Oracle Corporation",1481115541101
java.specification.version,sysinfo,,,"1.7",1481115541101
java.vendor,sysinfo,,,"Oracle Corporation",1481115541101
java.version,sysinfo,,,"1.7.0_79",1481115541101
java.vm.info,sysinfo,,,"mixed mode",1481115541101
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1481115541101
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1481115541101
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1481115541101
java.vm.specification.version,sysinfo,,,"1.7",1481115541101
java.vm.vendor,sysinfo,,,"Oracle Corporation",1481115541101
java.vm.version,sysinfo,,,"24.79-b02",1481115541101
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1481115545497
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1481115693386
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1481115693886
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1481115693964
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1481115694245
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1481115694245
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1481115694449
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1481115694480
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1481115695003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481115701079
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1481115712680
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1481115715381
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1481115717708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481115729770
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481115735077
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481115735436
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1481115757840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1481115758403
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1481115766522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481115775901
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1481115791430
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1481115791447
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1481115791473
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1481115791475
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1481115791579
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1481115793440
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1481115793524
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1481115793571
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1481115874579
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1481115874689
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1481115874986
